Campaign,Leads,MQLs,SQLs,Customers
Brand Awareness - Mumbai,18,4,1,0
Performance Max - Delhi,210,98,41,18
Retargeting - All Cities,145,89,52,28
Competitor Keywords,12,3,1,0
Search - Product Launch,188,102,58,31
Dynamic Search Ads,6,2,0,0
Shopping - Electronics,312,148,82,44
Display - Remarketing,24,9,3,1
Awareness - Lookalike Audience,38,8,2,0
Retargeting - Website Visitors,182,94,48,22
Conversion - Cold Traffic,108,44,18,7
Lead Gen - Free Trial,298,188,112,58
Video Views - Brand Story,24,5,1,0
Catalog Sales - Top Products,238,142,88,51
