Campaign,Ad Group,Impressions,Clicks,Cost,Conversions,Conversion Value
Performance Max - Delhi,Branded Keywords,18000,720,42000,34,156400
Performance Max - Delhi,Competitor Keywords,12000,360,28000,18,82800
Performance Max - Delhi,Generic - Shoes,8000,240,25000,10,46000
Retargeting - All Cities,Cart Abandoners,9000,450,16000,24,71200
Retargeting - All Cities,Past Purchasers,7000,350,8000,12,43200
Retargeting - All Cities,Site Visitors,5000,150,4000,2,5600
Search - Product Launch,New Collection,22000,880,38000,30,114000
Search - Product Launch,Sale Items,15000,600,22000,20,76000
Shopping - Electronics,Laptops,28000,1120,62000,48,230400
Shopping - Electronics,Mobiles,22000,660,42000,38,177400
Shopping - Electronics,Accessories,17000,230,21000,12,30000
