Campaign,Ad Group,Keyword,Match Type,Impressions,Clicks,Cost,Conversions,Conversion Value,Quality Score
Performance Max - Delhi,Branded Keywords,buy shoes online,Exact,8200,492,18900,18,82800,9
Performance Max - Delhi,Branded Keywords,shoes online india,Phrase,5800,232,12600,10,46000,8
Performance Max - Delhi,Branded Keywords,best shoes,Broad,4000,152,10500,6,27600,6
Performance Max - Delhi,Competitor Keywords,nike shoes alternative,Exact,5200,208,14000,10,46000,7
Performance Max - Delhi,Competitor Keywords,adidas running shoes,Phrase,4100,124,9200,6,27600,6
Performance Max - Delhi,Competitor Keywords,sports shoes cheap,Broad,2700,54,4800,2,9200,4
Retargeting - All Cities,Cart Abandoners,shoes cart,Exact,4200,294,9800,14,64400,8
Retargeting - All Cities,Cart Abandoners,checkout shoes,Phrase,3100,155,5200,8,36800,7
Retargeting - All Cities,Cart Abandoners,buy shoes now,Broad,1700,51,1000,2,0,3
Shopping - Electronics,Laptops,gaming laptop india,Exact,12000,600,32000,24,115200,9
Shopping - Electronics,Laptops,best laptop under 50000,Phrase,9000,360,20000,16,76800,8
Shopping - Electronics,Laptops,cheap laptop,Broad,7000,160,10000,8,38400,5
Shopping - Electronics,Mobiles,iphone india price,Exact,10000,400,22000,20,96000,8
Shopping - Electronics,Mobiles,best android phone,Phrase,7500,188,12000,12,57600,7
Shopping - Electronics,Mobiles,mobile under 20000,Broad,4500,90,8000,6,23800,5
