Campaign name,Ad Set Name,Impressions,Clicks,Amount spent,Results,Purchase ROAS
Retargeting - Website Visitors,Website Visitors 30d,18000,720,22000,32,3.45
Retargeting - Website Visitors,Video Viewers 14d,10000,400,12000,18,2.82
Retargeting - Website Visitors,IG Engagers,6000,240,8000,8,2.14
Conversion - Cold Traffic,Lookalike 1% - Purchasers,28000,840,36000,16,1.62
Conversion - Cold Traffic,Lookalike 2% - Purchasers,18000,540,24000,12,1.38
Conversion - Cold Traffic,Interest - Fashion,15000,450,18000,6,1.18
Lead Gen - Free Trial,Lookalike 1% - Leads,14000,560,18000,58,3.14
Lead Gen - Free Trial,Interest - SaaS,8000,200,10000,28,2.42
Lead Gen - Free Trial,Broad - 25-45,6000,120,7000,9,1.88
Catalog Sales - Top Products,Dynamic - All Products,22000,880,32000,42,4.12
Catalog Sales - Top Products,Dynamic - Top 20,12000,600,20000,28,3.68
Catalog Sales - Top Products,Dynamic - Sale Items,8000,200,10000,6,2.24
