Campaign,Ad Group,Ad Name,Ad Type,Impressions,Clicks,Cost,Conversions,Conversion Value,CTR
Performance Max - Delhi,Branded Keywords,Summer Sale - RSA 1,Responsive Search Ad,9200,552,21200,22,101200,6.0
Performance Max - Delhi,Branded Keywords,Summer Sale - RSA 2,Responsive Search Ad,8800,420,21800,12,55200,4.77
Performance Max - Delhi,Competitor Keywords,vs Competitors - RSA 1,Responsive Search Ad,7100,284,18200,14,64400,4.0
Performance Max - Delhi,Competitor Keywords,vs Competitors - RSA 2,Responsive Search Ad,4900,148,9800,4,18400,3.02
Retargeting - All Cities,Cart Abandoners,Cart Reminder - Image 1,Display Ad,5200,260,9100,16,73600,5.0
Retargeting - All Cities,Cart Abandoners,Cart Reminder - Image 2,Display Ad,3800,190,6900,8,36800,5.0
Shopping - Electronics,Laptops,Gaming Laptops - PLA,Shopping Ad,14000,700,36000,28,134400,5.0
Shopping - Electronics,Laptops,Budget Laptops - PLA,Shopping Ad,14000,420,26000,20,96000,3.0
Shopping - Electronics,Mobiles,iPhone Models - PLA,Shopping Ad,12000,480,24000,24,115200,4.0
Shopping - Electronics,Mobiles,Android Range - PLA,Shopping Ad,10000,200,18000,14,67200,2.0
